REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018-11,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.05,,,,2
2018-12,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.03,,,,2
2019-01,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.05,,,,2
2019-02,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.08,,,,2
2019-03,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.09,,,,2
2019-04,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.09,,,,2
2019-05,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.08,,,,2
2019-06,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.10,,,,2
2019-07,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.06,,,,2
2019-08,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.04,,,,2
2019-09,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.06,,,,2
2019-10,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.07,,,,2
2019-11,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.06,,,,2
2019-12,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.05,,,,2
2020-01,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.09,,,,2
2020-02,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.12,,,,2
2020-03,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.07,,,,2
2020-04,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.06,,,,2
2020-05,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.09,,,,2
2020-06,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.10,,,,2
2020-07,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.05,,,,2
2020-08,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.04,,,,2
2020-09,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.11,,,,2
2020-10,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.14,,,,2
2020-11,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.08,,,,2
2020-12,Newfoundland and Labrador,2016A000210,"Bananas, per kilogram",Dollars,81,units,0,v1159446998,1.24,2.04,,,,2
2017-01,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.33,,,,2
2017-02,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.38,,,,2
2017-03,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.36,,,,2
2017-04,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.11,,,,2
2017-05,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.11,,,,2
2017-06,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.21,,,,2
2017-07,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.21,,,,2
2017-08,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.05,,,,2
2017-09,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.78,,,,2
2017-10,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,4.37,,,,2
